RUC|NOMBRE_DE_ENTIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|CODIGO_SIAF|CODCONSUCODE|ESTADO|ULTIMAACTUALIZACION
20603511353|GOBIERNO REGIONAL DE MADRE DE DIOS - REDES DE SALUD PERIFÉRICAS|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|1708|204326|Activo|20/02/19
20490448951|GOBIERNO REGIONAL DE MADRE DE DIOS - UNIDAD EJECUTORA 1392 SUBREGION MANU|MADRE DE DIOS|MANU|MANU|1392|200373|Activo|17/07/13
20527143200|GOBIERNO REGIONAL DE MADRE DE DIOS SEDE CENTRAL|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|0875|45|Activo|17/07/13
20350402935|GOBIERNO REGIONAL DE MADRE DE DIOS-AGRICULTURA|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|876|10535|Activo|17/07/13
20199189710|GOBIERNO REGIONAL DE MADRE DE DIOS-DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|877|10536|Activo|17/07/13
20350338315|GOBIERNO REGIONAL DE MADRE DE DIOS-EDUCACION|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|878|10537|Activo|17/07/13
20166236950|GOBIERNO REGIONAL DE MOQUEGUA - DIRECCIÓN REGIONAL DE EDUCACIÓN|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|883|10542|Activo|16/02/22
20532658986|GOBIERNO REGIONAL DE MOQUEGUA - HOSPITAL REGIONAL DE MOQUEGUA|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|1394|200372|Activo|17/07/13
20519923182|GOBIERNO REGIONAL DE MOQUEGUA - PROYECTO ESPECIAL REGIONAL PASTO GRANDE|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|1144|10367|Activo|26/12/15
20519839807|GOBIERNO REGIONAL DE MOQUEGUA - SALUD ILO|MOQUEGUA|ILO|ILO|1172|200127|Activo|17/07/13
20539637909|GOBIERNO REGIONAL DE MOQUEGUA - SUB REGION DE DESARROLLO GENERAL SANCHEZ CERRO|MOQUEGUA|GENERAL SANCHEZ CERRO|OMATE|1393|200547|Activo|24/09/13
20405186145|GOBIERNO REGIONAL DE MOQUEGUA - TRANSPORTES|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|882|10541|Activo|10/03/20
20519922453|GOBIERNO REGIONAL DE MOQUEGUA - UGEL MARISCAL NIETO|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|1207|200166|Activo|18/11/15
20519838584|GOBIERNO REGIONAL DE MOQUEGUA - UNIDAD DE GESTION EDUCATIVA LOCAL ILO|MOQUEGUA|ILO|ILO|1171|200126|Activo|17/07/13
20453944337|GOBIERNO REGIONAL DE MOQUEGUA - UNIDAD EJECUTORA 303 SANCHEZ CERRO|MOQUEGUA|GENERAL SANCHEZ CERRO|OMATE|1208|200167|Activo|17/07/13
20519752604|GOBIERNO REGIONAL DE MOQUEGUA SEDE CENTRAL|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|0880|46|Activo|17/07/13
20532480397|GOBIERNO REGIONAL DE MOQUEGUA UNIDAD EJECUTORA SUB REGION DE DESARROLLO ILO Nº 003|MOQUEGUA|ILO|ILO|1337|200306|Activo|08/04/16
20520000411|GOBIERNO REGIONAL DE MOQUEGUA ZONA ESPECIAL DE DESARROLLO ILO|MOQUEGUA|ILO|ILO|500265|200153|Activo|30/04/20
20171880891|GOBIERNO REGIONAL DE MOQUEGUA-SALUD|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|884|10543|Activo|24/12/15
20365469301|GOBIERNO REGIONAL DE PASCO - DIRECCION  REGIONAL  DE TRANSPORTES Y COMUNICACIONES|PASCO|PASCO|YANACANCHA|887|10546|Activo|17/07/13
20288480568|GOBIERNO REGIONAL DE PASCO - DIRECCION REGIONAL AGRARIA|PASCO|PASCO|YANACANCHA|886|10545|Activo|17/07/13
20323727911|GOBIERNO REGIONAL DE PASCO - DIRECCION SUB-REGIONAL DE EDUCACION DE PASCO|PASCO|PASCO|CHAUPIMARCA|888|10547|Activo|17/07/13
20486022583|GOBIERNO REGIONAL DE PASCO - UNIDAD DE GESTION EDUCATIVA DE OXAPAMPA|PASCO|OXAPAMPA|OXAPAMPA|1113|200176|Activo|17/07/13
